update_idx,mean_action,std_action
0,-0.00046578835463151336,1.002959966659546
1,-0.00035346305230632424,1.0077574253082275
2,-0.00020402796508278698,1.0111041069030762
3,-0.00022535258904099464,1.0135844945907593
4,-0.0004525102558545768,1.0135600566864014
5,-0.00048464626888744533,1.021026372909546
6,-0.0006022753077559173,1.0130982398986816
7,-0.001003809506073594,1.0106465816497803
8,-0.000544134178198874,1.0020909309387207
9,-0.0013136261841282248,1.0104669332504272
10,-0.0006733200279995799,1.0218263864517212
11,-0.0005971289938315749,1.0326191186904907
12,-0.0004706540494225919,1.0454795360565186
13,-0.0004572747275233269,1.0618383884429932
14,-0.0008717568125575781,1.0771888494491577
15,-0.0008938570390455425,1.0910000801086426
16,-0.0010961154475808144,1.1074730157852173
17,-0.001176751684397459,1.118825912475586
18,-0.0012035926338285208,1.1219747066497803
19,-0.0015373039059340954,1.0889058113098145
20,-0.001579527510330081,1.0576094388961792
21,-0.001601907890290022,1.0083751678466797
22,-0.0015201540663838387,0.9711743593215942
23,-0.0016118393978103995,0.9431740045547485
24,-0.0017455120105296373,0.9056227207183838
25,-0.0016878893366083503,0.8765014410018921
26,-0.0022882865741848946,0.8508333563804626
27,-0.002405594103038311,0.8480233550071716
28,-0.0034553110599517822,0.8702061176300049
29,-0.004565512295812368,0.8694477081298828
30,-0.004565512295812368,0.8723341226577759
31,-0.004565512295812368,0.8760060667991638
32,-0.004565512295812368,0.8806833028793335
33,-0.004565512295812368,0.8866500854492188
34,-0.004565512295812368,0.8942757844924927
35,-0.004565512295812368,0.9040402173995972
36,-0.004565512295812368,0.9165687561035156
37,-0.004565512295812368,0.9326739311218262
38,-0.004565512295812368,0.9534035921096802
39,-0.004565512295812368,0.9800907373428345
40,-0.004565512295812368,1.014389991760254
41,-0.004565512295812368,1.0582865476608276
42,-0.004565512295812368,1.1140685081481934
43,-0.004565512295812368,1.18428373336792
44,-0.004565512295812368,1.2717280387878418
45,-0.004565512295812368,1.3795108795166016
46,-0.004565512295812368,1.511185646057129
47,-0.004565512295812368,1.6708791255950928
48,-0.004565512295812368,1.8633394241333008
49,-0.004565511830151081,2.093878746032715
50,-0.004306771792471409,2.3684377670288086
51,-0.002553992671892047,2.5899157524108887
52,-0.0021447837352752686,2.4902167320251465
53,-0.0029304581694304943,2.51254940032959
54,-0.003123947884887457,2.5223333835601807
55,-0.0030719744972884655,2.529306173324585
56,-0.0028390693478286266,2.527151584625244
57,-0.0032534438651055098,2.5491950511932373
58,-0.003074205946177244,2.5383143424987793
59,-0.0032299980521202087,2.497793674468994
60,-0.00276290625333786,2.5435900688171387
61,-0.002763067837804556,2.557253837585449
62,-0.002763067837804556,2.574638843536377
63,-0.002763067837804556,2.5967864990234375
64,-0.002763067837804556,2.625047206878662
65,-0.002763067837804556,2.661179542541504
66,-0.0027630687691271305,2.7074718475341797
67,-0.0027630687691271305,2.766923427581787
68,-0.0027630687691271305,2.8434534072875977
69,-0.0027630687691271305,2.942169189453125
70,-0.0027630687691271305,3.0696609020233154
71,-0.0027630687691271305,3.2342565059661865
72,-0.002763069001957774,3.4461417198181152
73,-0.002763069001957774,3.717186450958252
74,-0.002763072494417429,4.060401439666748
75,-0.0027641858905553818,4.489161491394043
76,-0.0028021119069308043,5.016576766967773
77,-0.003485915018245578,5.6495866775512695
78,-0.004207718186080456,6.384894371032715
79,-0.004193687345832586,6.589118480682373
80,-0.003947567660361528,6.669468879699707
81,-0.003781398758292198,6.864933013916016
82,-0.0039280494675040245,7.049276351928711
83,-0.0038758432492613792,7.346864223480225
84,-0.0037845175247639418,7.556423187255859
85,-0.0038193415384739637,7.8062944412231445
86,-0.003941593691706657,8.124133110046387
87,-0.003984982147812843,8.43790054321289
88,-0.0038126390427351,8.754867553710938
89,-0.00381516944617033,8.879249572753906
90,-0.0038153964560478926,8.955389022827148
91,-0.0038464427925646305,9.052528381347656
92,-0.003964569419622421,9.176733016967773
93,-0.004002685192972422,9.335861206054688
94,-0.004012543708086014,9.540188789367676
95,-0.004127810709178448,9.803383827209473
96,-0.004170228727161884,10.14327621459961
97,-0.0041755312122404575,10.581683158874512
98,-0.005025066900998354,11.166411399841309
99,-0.005266640335321426,11.662651062011719
100,-0.004860004410147667,11.73311996459961
101,-0.0046039968729019165,12.052177429199219
102,-0.004546571522951126,12.341522216796875
103,-0.004508778918534517,12.64478874206543
104,-0.004497890826314688,13.030223846435547
105,-0.004539326764643192,13.482687950134277
106,-0.004521030001342297,14.123809814453125
107,-0.004605971276760101,14.705801963806152
108,-0.004745427519083023,15.481651306152344
109,-0.004613260272890329,15.681221008300781
110,-0.004545463249087334,15.812106132507324
111,-0.0047048465348780155,16.00210189819336
112,-0.004535668063908815,16.20315170288086
113,-0.004383661784231663,16.437925338745117
114,-0.004495853558182716,16.740558624267578
115,-0.004675481468439102,17.101659774780273
116,-0.00477063050493598,17.425752639770508
117,-0.0047761304304003716,17.704933166503906
118,-0.004799451678991318,18.065153121948242
119,-0.004848160315304995,18.52698516845703
120,-0.004782401025295258,19.121379852294922
121,-0.005128464661538601,19.856639862060547
122,-0.005103827454149723,20.743947982788086
123,-0.004959522746503353,21.721073150634766
124,-0.004811923019587994,22.68256378173828
125,-0.0048856488429009914,23.74982261657715
126,-0.0046651531010866165,24.44855308532715
127,-0.004673775285482407,25.029621124267578
128,-0.0046739340759813786,25.779083251953125
129,-0.004674742929637432,26.742246627807617
130,-0.004759719595313072,27.953962326049805
131,-0.004764001816511154,29.52242088317871
132,-0.004717427771538496,31.52113151550293
133,-0.004743277560919523,33.99585723876953
134,-0.004982960410416126,36.713905334472656
135,-0.004824738018214703,37.25889587402344
136,-0.004732564557343721,37.55562973022461
137,-0.004712029360234737,38.08220291137695
138,-0.004540703259408474,38.151695251464844
139,-0.0044021885842084885,39.00774002075195
140,-0.004365567117929459,39.686981201171875
141,-0.0043623726814985275,40.380374908447266
142,-0.004127330146729946,41.23223876953125
143,-0.004127382300794125,41.8148193359375
144,-0.004128570668399334,42.5615234375
145,-0.004132498055696487,43.52073287963867
146,-0.0041359844617545605,44.75543975830078
147,-0.0041527110151946545,46.34673309326172
148,-0.0041902195662260056,48.39879608154297
149,-0.004385983571410179,49.402217864990234
150,-0.004654275253415108,50.00407028198242
151,-0.004854807164520025,50.309844970703125
152,-0.004716185852885246,50.510162353515625
153,-0.004746465012431145,50.83747100830078
154,-0.004537923727184534,51.817848205566406
155,-0.00456765154376626,52.431488037109375
156,-0.0045678745955228806,53.21712875366211
157,-0.004572252277284861,54.2238883972168
158,-0.005162556655704975,55.16691207885742
159,-0.005344312638044357,55.97339630126953
160,-0.005392355378717184,57.3072509765625
161,-0.0053857117891311646,57.83893585205078
162,-0.005049428902566433,57.79940414428711
163,-0.00504170311614871,58.900142669677734
164,-0.004722570534795523,60.18532943725586
165,-0.004808145575225353,60.56542205810547
166,-0.0045914785005152225,61.9399528503418
167,-0.00459209643304348,63.0692253112793
168,-0.00464597437530756,64.5004653930664
169,-0.0048163291066884995,66.27581024169922
170,-0.005129039753228426,68.44947814941406
171,-0.005053577478975058,70.15228271484375
172,-0.005068426951766014,71.49324035644531
173,-0.0048646871000528336,73.02318572998047
174,-0.004841597285121679,74.09495544433594
175,-0.005151012912392616,74.31840515136719
176,-0.005452621728181839,75.06432342529297
177,-0.005364022683352232,76.29906463623047
178,-0.005026211962103844,75.48151397705078
179,-0.005083655472844839,77.40994262695312
180,-0.00510235084220767,78.12215423583984
181,-0.0051298122853040695,79.03347778320312
182,-0.005676816217601299,80.81642150878906
183,-0.005442736204713583,82.77659606933594
184,-0.005442736204713583,82.92262268066406
185,-0.005442736204713583,83.10710144042969
186,-0.005442736204713583,83.3419418334961
187,-0.005442736204713583,83.6400375366211
188,-0.005442736204713583,84.01850891113281
189,-0.005442736204713583,84.4994888305664
190,-0.005442736204713583,85.11178588867188
191,-0.00544274365529418,85.89202117919922
192,-0.00544274365529418,86.88832092285156
193,-0.00544274365529418,88.16283416748047
194,-0.005443706642836332,89.79705047607422
195,-0.00544371921569109,91.89715576171875
196,-0.005443850066512823,94.60262298583984
197,-0.005448788404464722,98.09410095214844
198,-0.005449806805700064,102.60441589355469
199,-0.005638215225189924,108.41506958007812
